fraction_of_positives,mean_predicted_value
0.0021183196776152586,0.003766258187271776
0.022840163675096496,0.028728696946677203
0.03924235317410745,0.04927306816765346
0.05861320865777569,0.06952819324015781
0.07442872594296703,0.0896515117796921
0.09189771979203923,0.10970804283207901
0.11117005564229779,0.12976648520053893
0.12761248408163822,0.14980164130699383
0.1538045031359514,0.16986034877051093
0.17862470289320548,0.1898499949724789
0.20433804005697304,0.20987770771489353
0.23354105846245976,0.22991595265156956
0.2554907532027317,0.2498817664125756
0.2873140911874293,0.2699214779953671
0.319728986814414,0.28995391329084735
0.34600405047515187,0.3099708774333734
0.37177184049430745,0.32994990618689
0.39457341675925384,0.34997675258383737
0.4098502059213004,0.36995885056966094
0.42663803435876946,0.38997298720152473
0.4394399949549095,0.40998930252725274
0.45903940512924274,0.43000980951462947
0.47319904404233526,0.45001710128799555
0.49456005747863796,0.46997816519338237
0.512297158596318,0.48999851903032715
0.5312793885849769,0.5099637241210805
0.5580857952789757,0.529979291639425
0.5816711370103612,0.5499639655747878
0.6017978258220856,0.5699927086364838
0.6266802999318337,0.5900288439520216
0.6498632537638406,0.6100206134359568
0.6692218989962523,0.6300092706598882
0.6833717133080937,0.6500206973445907
0.7026715356525082,0.6700105274171907
0.7222712599616665,0.6899943491414867
0.735411367638427,0.7100644405742456
0.758534072624987,0.7301281636249667
0.7799624660252815,0.7501162344651625
0.796950429164838,0.7700728241351299
0.8155570750310583,0.7901184266886758
0.8340523183932685,0.8101470892464788
0.8500629921259842,0.8302362004321391
0.8683693119840554,0.8502829365887482
0.8870679710723635,0.8703439416304086
0.910869801753966,0.8904179669473515
0.9303683677371313,0.9104691196203569
0.9459087766220149,0.930446492587719
0.9545801035307966,0.9502226255708379
0.9639473068135797,0.9704332894589903
0.9707265573882906,0.9891512163189121
