emdb_id,f1_score,kde_value,mean_value
0257,0.8788453884378271,1.9118158004709962,0.45222762
0257,0.8788453884378271,1.916226193671656,0.45222762
0257,0.8788453884378271,1.920387051803368,0.45222762
0257,0.8788453884378271,1.9242972691863027,0.45222762
0257,0.8788453884378271,1.9279558524654807,0.45222762
0257,0.8788453884378271,1.9313619211768625,0.45222762
0257,0.8788453884378271,1.9345147082276033,0.45222762
0257,0.8788453884378271,1.9374135602899758,0.45222762
0257,0.8788453884378271,1.9400579381087564,0.45222762
0257,0.8788453884378271,1.9424474167217602,0.45222762
0257,0.8788453884378271,1.944581685593467,0.45222762
0257,0.8788453884378271,1.9464605486616413,0.45222762
0257,0.8788453884378271,1.9480839242970203,0.45222762
0257,0.8788453884378271,1.9494518451762661,0.45222762
0257,0.8788453884378271,1.950564458068351,0.45222762
0257,0.8788453884378271,1.9514220235347448,0.45222762
0257,0.8788453884378271,1.9520249155438658,0.45222762
0257,0.8788453884378271,1.9523736210002203,0.45222762
0257,0.8788453884378271,1.9524687391889597,0.45222762
0257,0.8788453884378271,1.9523109811364165,0.45222762
0257,0.8788453884378271,1.9519011688875112,0.45222762
0257,0.8788453884378271,1.9512402347008686,0.45222762
0257,0.8788453884378271,1.9503292201625493,0.45222762
0257,0.8788453884378271,1.9491692752195149,0.45222762
0257,0.8788453884378271,1.9477616571339296,0.45222762
0257,0.8788453884378271,1.9461077293594222,0.45222762
0257,0.8788453884378271,1.9442089603407546,0.45222762
0257,0.8788453884378271,1.942066922238071,0.45222762
0257,0.8788453884378271,1.9396832895773124,0.45222762
0257,0.8788453884378271,1.9370598378282673,0.45222762
0257,0.8788453884378271,1.9341984419117415,0.45222762
0257,0.8788453884378271,1.9311010746376773,0.45222762
0257,0.8788453884378271,1.9277698050758085,0.45222762
0257,0.8788453884378271,1.9242067968606653,0.45222762
0257,0.8788453884378271,1.9204143064327812,0.45222762
0257,0.8788453884378271,1.9163946812180168,0.45222762
0257,0.8788453884378271,1.9121503577469667,0.45222762
0257,0.8788453884378271,1.9076838597163817,0.45222762
0257,0.8788453884378271,1.9029977959948763,0.45222762
0257,0.8788453884378271,1.8980948585747615,0.45222762
0257,0.8788453884378271,1.8929778204723804,0.45222762
0257,0.8788453884378271,1.8876495335790957,0.45222762
0257,0.8788453884378271,1.8821129264651186,0.45222762
0257,0.8788453884378271,1.8763710021384952,0.45222762
0257,0.8788453884378271,1.87042683576163,0.45222762
0257,0.8788453884378271,1.8642835723275966,0.45222762
0257,0.8788453884378271,1.8579444242986374,0.45222762
0257,0.8788453884378271,1.8514126692093094,0.45222762
0257,0.8788453884378271,1.8446916472366257,0.45222762
0257,0.8788453884378271,1.837784758739672,0.45222762
0257,0.8788453884378271,1.8306954617711575,0.45222762
0257,0.8788453884378271,1.823427269563359,0.45222762
0257,0.8788453884378271,1.8159837479909264,0.45222762
0257,0.8788453884378271,1.808368513013019,0.45222762
0257,0.8788453884378271,1.8005852280973669,0.45222762
0257,0.8788453884378271,1.7926376016285797,0.45222762
0257,0.8788453884378271,1.7845293843033407,0.45222762
0257,0.8788453884378271,1.7762643665148408,0.45222762
0257,0.8788453884378271,1.7678463757290142,0.45222762
0257,0.8788453884378271,1.7592792738550374,0.45222762
0257,0.8788453884378271,1.7505669546123885,0.45222762
0257,0.8788453884378271,1.7417133408971572,0.45222762
0257,0.8788453884378271,1.7327223821497135,0.45222762
0257,0.8788453884378271,1.72359805172639,0.45222762
0257,0.8788453884378271,1.7143443442772965,0.45222762
0257,0.8788453884378271,1.704965273132808,0.45222762
0257,0.8788453884378271,1.6954648677008615,0.45222762
0257,0.8788453884378271,1.6858471708774074,0.45222762
0257,0.8788453884378271,1.6761162364722286,0.45222762
0257,0.8788453884378271,1.666276126652347,0.45222762
0257,0.8788453884378271,1.656330909405029,0.45222762
0257,0.8788453884378271,1.6462846560227604,0.45222762
0257,0.8788453884378271,1.63614143861195,0.45222762
0257,0.8788453884378271,1.625905327627634,0.45222762
0257,0.8788453884378271,1.6155803894359146,0.45222762
0257,0.8788453884378271,1.6051706839063062,0.45222762
0257,0.8788453884378271,1.5946802620355884,0.45222762
0257,0.8788453884378271,1.5841131636051837,0.45222762
0257,0.8788453884378271,1.5734734148736937,0.45222762
0257,0.8788453884378271,1.562765026306324,0.45222762
0257,0.8788453884378271,1.5519919903428023,0.45222762
0257,0.8788453884378271,1.541158279205491,0.45222762
0257,0.8788453884378271,1.530267842749003,0.45222762
0257,0.8788453884378271,1.5193246063529444,0.45222762
0257,0.8788453884378271,1.5083324688591075,0.45222762
0257,0.8788453884378271,1.4972953005544225,0.45222762
0257,0.8788453884378271,1.486216941200996,0.45222762
0257,0.8788453884378271,1.4751011981143196,0.45222762
0257,0.8788453884378271,1.463951844290895,0.45222762
0257,0.8788453884378271,1.4527726165862649,0.45222762
0257,0.8788453884378271,1.4415672139444353,0.45222762
0257,0.8788453884378271,1.4303392956796617,0.45222762
0257,0.8788453884378271,1.4190924798114566,0.45222762
0257,0.8788453884378271,1.4078303414535256,0.45222762
0257,0.8788453884378271,1.3965564112574609,0.45222762
0257,0.8788453884378271,1.3852741739117802,0.45222762
0257,0.8788453884378271,1.3739870666968974,0.45222762
0257,0.8788453884378271,1.3626984780966018,0.45222762
0257,0.8788453884378271,1.3514117464664208,0.45222762
0257,0.8788453884378271,1.340130158759269,0.45222762
0257,0.8788453884378271,1.328856949308757,0.45222762
0257,0.8788453884378271,1.3175952986703512,0.45222762
0257,0.8788453884378271,1.3063483325205585,0.45222762
0257,0.8788453884378271,1.2951191206143535,0.45222762
0257,0.8788453884378271,1.2839106758007848,0.45222762
0257,0.8788453884378271,1.2727259530968436,0.45222762
